,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs
8,3056503924257198982,1237668298740269306,183.28750034476002,20.5578266706357,22.5672874450684,20.677015304565398,18.9712810516357,18.3491382598877,17.995656967163104,23.603683471679698,23.937730789184602,GALAXY
20,3056715030489735145,1237664818751865302,186.54098636077998,37.3042133999689,21.954910278320302,20.8963737487793,19.6329174041748,19.0182495117188,18.673267364502,23.325780868530302,23.5069065093994,GALAXY
28,3056785399233913412,1237665129618473462,187.191709961096,35.864164391173,23.7213020324707,21.479513168335,20.584981918335,19.6735992431641,19.072708129882802,23.2104759216309,23.7279834747314,GALAXY
44,3056820583605996338,1237667782835634924,187.24998831505698,22.5496387146137,22.132360458374,21.2448902130127,21.220445632934602,21.0673923492432,21.0838642120361,23.2937717437744,23.271993637085,STAR
45,3056820583606002240,1237667783372374529,186.888748543677,22.998657001026398,21.947156906127898,21.5411911010742,21.341478347778303,21.419265747070302,21.4142284393311,22.984981536865202,23.394485473632802,QSO
46,3056820583606002240,1237667783372374529,186.888748543677,22.998657001026398,21.947156906127898,21.5411911010742,21.341478347778303,21.419265747070302,21.4142284393311,22.984981536865202,23.394485473632802,QSO
47,3056820583606002886,1237667783372505462,187.14407214199198,23.0405385201408,22.616149902343803,21.235071182251,20.0400485992432,19.2926712036133,18.997722625732397,22.31130027771,23.9952049255371,GALAXY
48,3056820583606002886,1237667783372505462,187.14407214199198,23.0405385201408,22.616149902343803,21.235071182251,20.0400485992432,19.2926712036133,18.997722625732397,22.31130027771,23.9952049255371,GALAXY
49,3056820583606004371,1237667736120262723,187.023785148898,23.160852689125498,20.6068172454834,18.5573883056641,17.520658493042,17.0958499908447,16.7698192596436,22.6491966247559,23.9485130310059,GALAXY
73,3056996505466440418,1237665025443168409,188.45624671034,35.2618480978285,19.7130737304688,17.5998096466064,16.4838619232178,16.0173664093018,15.6601829528809,23.314153671264602,23.5286521911621,GALAXY
88,3057066874210622070,1237664820363854143,190.59381099816503,38.5949881613602,22.7420387268066,21.2466640472412,20.688648223877,19.8876342773438,19.9182014465332,22.2592658996582,24.283018112182603,GALAXY
89,3057066874210622070,1237664820363854143,190.59381099816503,38.5949881613602,22.7420387268066,21.2466640472412,20.688648223877,19.8876342773438,19.9182014465332,22.2592658996582,24.283018112182603,GALAXY
90,3057066874210623964,1237662223532556635,190.598922941197,38.7577440107216,24.458816528320302,21.373001098632802,20.075250625610398,19.297327041626,18.9306030273438,23.5680713653564,23.795188903808604,GALAXY
107,3057137242954800251,1237665128009367716,191.27075322638302,34.5033350430955,21.4729061126709,20.7337913513184,20.8177127838135,20.9362564086914,20.8237915039063,22.907302856445302,24.0200634002686,STAR
124,3057277980443155432,1237664819828818041,195.895160250658,37.742609905535396,18.6934413909912,17.7200107574463,17.3289699554443,17.1177139282227,16.983253479003903,19.352218627929698,19.457670211792,GALAXY
125,3057277980443155685,1237664819828752533,195.74828474312199,37.7648361887209,21.2072772979736,20.8270568847656,20.677089691162102,20.712776184082,20.346157073974602,20.546718597412102,21.3672695159912,QSO
140,3058896461559235526,1237665441520025839,205.881606403703,27.958239795224298,21.314500808715803,19.4482688903809,18.032794952392603,17.4907207489014,17.1077270507813,22.7635879516602,23.3764915466309,GALAXY
141,3058896461559244506,1237665429167472779,205.26011967528197,28.690366842019895,21.587463378906303,19.4540119171143,18.0505523681641,17.5207080841064,17.1429347991943,22.700223922729503,23.4231662750244,GALAXY
149,3060620495791592859,1237667323799995078,200.802080991948,27.1452341643252,25.582592010498,21.1436767578125,19.399082183837898,18.7362461090088,18.361141204834002,24.8024387359619,25.3812313079834,GALAXY
150,3060620495791606543,1237667324336930917,200.96796838461498,27.4966462935445,21.6751556396484,20.4007511138916,18.8299713134766,18.2197265625,17.827337265014602,23.7548675537109,24.7158012390137,GALAXY
160,3061429736349632612,1237668296593376273,184.77508206053102,18.8494226157369,23.2645797729492,22.7145595550537,21.002756118774396,19.9693698883057,19.612228393554698,23.909376144409197,23.771545410156303,GALAXY
161,3061429736349638389,1237668297130312199,184.862977053786,19.3181489055779,21.668512344360398,20.5077743530273,19.686359405517603,18.9912166595459,18.751056671142603,23.406679153442397,23.332799911499,GALAXY
165,3061500105093817383,1237667916493357085,183.20300068727403,20.7881589468925,19.4682559967041,18.616054534912102,18.460870742797898,18.3674850463867,18.277296066284197,22.0184211730957,23.1587753295898,QSO
166,3061500105093818862,1237668299276878054,182.714955539816,20.924551757510397,21.5623722076416,21.1197357177734,21.019729614257802,21.0361022949219,20.483045578002898,23.119478225707997,23.808622360229503,QSO
171,3061640842582167254,1237668298205233340,187.77819579156397,20.0115300794414,19.3794097900391,17.8893051147461,17.3048000335693,16.9601192474365,16.8269081115723,19.7520637512207,20.1326885223389,GALAXY
172,3061640842582167848,1237668298205364548,188.142973292542,20.0918496298372,20.9786815643311,20.4873161315918,20.4750003814697,20.4199199676514,20.4256610870361,22.962360382080103,22.7479934692383,QSO
173,3061640842582169321,1237667915958452415,188.01993697088798,20.2536919047325,19.5790004730225,18.2889022827148,17.6812114715576,17.34521484375,17.096746444702102,20.5734825134277,20.9743900299072,GALAXY
174,3061640842582170850,1237668298742169749,187.985250872943,20.4479388725056,19.2644290924072,18.0726490020752,17.5796813964844,17.2656288146973,17.087102890014602,20.144344329834002,20.3835887908936,GALAXY
175,3061640842582170942,1237668298742235260,188.125227271146,20.4655496813707,19.0015430450439,17.8236923217773,17.3232078552246,17.0316772460938,16.8360767364502,20.288364410400398,20.652887344360398,GALAXY
176,3061640842582171905,1237668298742235271,188.160308439468,20.5788234101035,20.2408294677734,18.693603515625,17.8204097747803,17.3339462280273,17.0065135955811,21.6840419769287,21.974718093872102,GALAXY
206,3064103748628387658,1237665226774151769,199.985438914719,31.4528782291002,24.6168537139893,21.3659553527832,19.6109981536865,18.8939647674561,18.486980438232397,23.0237712860107,23.6234474182129,GALAXY
207,3064103748628393340,1237665227311219094,200.548305557164,31.841912572581702,22.3617057800293,20.8642673492432,19.861618041992198,19.1740131378174,18.8241214752197,23.1850566864014,23.8354473114014,GALAXY
216,3070859148069439520,1237664667372290229,186.326743658867,39.045714753147394,22.336156845092802,20.3196067810059,18.542688369751,17.967239379882802,17.5994548797607,23.3735084533691,23.6859073638916,GALAXY
217,3070859148069439520,1237664667372290229,186.326743658867,39.045714753147394,22.336156845092802,20.3196067810059,18.542688369751,17.967239379882802,17.5994548797607,23.3735084533691,23.6859073638916,GALAXY
218,3070859148069441792,1237662224068116700,186.71140810447702,39.2239618230456,21.457218170165998,20.808151245117198,20.7446346282959,20.706508636474602,20.581523895263697,23.2969055175781,23.110843658447298,QSO
237,3080464481649694213,1237665226774610675,201.250134925131,31.2922015136057,22.1326198577881,21.225040435790998,19.4290809631348,18.6343994140625,18.225168228149396,22.6034107208252,23.163526535034197,GALAXY
238,3080464481649696739,1237665330395414767,201.551639345122,31.492445128987104,23.560466766357397,20.6177291870117,20.2102870941162,20.1275939941406,20.1600017547607,23.146509170532198,22.6761417388916,QSO
239,3080464481649696739,1237665330395414767,201.551639345122,31.492445128987104,23.560466766357397,20.6177291870117,20.2102870941162,20.1275939941406,20.1600017547607,23.146509170532198,22.6761417388916,QSO
245,3080499666021792109,1237664673791672860,201.290386256931,36.9423858548015,23.1775588989258,21.787904739379897,21.639400482177702,21.4158954620361,21.332410812377898,22.5326766967773,24.2777309417725,QSO
252,3083103309556359609,1237667324328804844,179.90639423462898,28.3611169503305,26.620145797729503,21.4857578277588,19.9131984710693,19.0892181396484,18.6153392791748,24.458307266235398,24.5318088531494,GALAXY
253,3083103309556364973,1237667252939981037,179.572129789118,28.8908518267234,21.520587921142603,19.5147552490234,18.0764846801758,17.518142700195302,17.089334487915,23.653501510620103,23.3429470062256,GALAXY
271,3083314415788888685,1237667783905968589,178.708253661507,23.323468837037396,22.174152374267603,21.4802303314209,20.458703994751,20.041316986084002,19.6038036346436,23.398311614990202,23.4573135375977,GALAXY
272,3083314415788889542,1237667783906099346,179.046124633829,23.388745084630603,22.3993034362793,20.571477890014602,18.792955398559602,18.1396770477295,17.810970306396502,23.1765575408936,23.442316055297898,GALAXY
273,3083314415788893708,1237667910053789743,178.61910490231497,23.708346186183,21.054378509521502,18.9154872894287,17.8246803283691,17.373346328735398,16.9812316894531,21.703495025634798,22.4114112854004,GALAXY
285,3083806996998145594,1237667323260698800,194.566615275433,27.355125699934696,26.5196800231934,20.677843093872102,18.820348739624,18.150579452514602,17.7282676696777,24.7997226715088,24.5336227416992,GALAXY
286,3083806996998145594,1237667323260698800,194.566615275433,27.355125699934696,26.5196800231934,20.677843093872102,18.820348739624,18.150579452514602,17.7282676696777,24.7997226715088,24.5336227416992,GALAXY
287,3083806996998146540,1237667323260633216,194.382804140609,27.387042598296,21.893217086792003,20.5972785949707,19.490421295165998,18.9415817260742,18.7058391571045,23.880521774292003,25.2316551208496,GALAXY
288,3083806996998146964,1237667443511657025,194.53482755279097,27.4044603480421,22.644842147827102,21.550651550293,21.4820022583008,21.7287540435791,21.2800922393799,24.2965393066406,25.074571609497102,GALAXY
304,3125007896714160438,1237668298746429984,198.280461920783,19.998798609026,25.133485794067397,21.8338947296143,20.815071105957,19.99831199646,19.562816619873,22.6741371154785,22.9435386657715,GALAXY
316,3125043081086244395,1237664853103346460,204.856130917341,35.644534496346104,22.9927768707275,21.950902938842802,20.7732028961182,19.7099685668945,19.160976409912102,23.0231876373291,23.8457221984863,GALAXY
317,3125043081086248399,1237664673256178419,205.087554934926,35.9734930979346,22.9133644104004,20.675968170165998,19.017620086669897,18.3500652313232,17.8472080230713,21.8739833831787,22.4916801452637,GALAXY
